IPC Turquía 2021 36,08 %
IPC Turquía 2020 14,60 %
IPC Turquía 2019 11,84 %
IPC Turquía 2018 20,30 %
IPC Turquía 2017 11,92 %
IPC Turquía 2016 8,53 %
IPC Turquía 2015 8,81 %
IPC Turquía 2014 8,17 %
IPC Turquía 2013 7,40 %
IPC Turquía 2012 6,16 %
IPC Turquía 2011 10,45 %
